Trial,N,Source,Drug,Target,Cancer type,Dose,Cutoff,Pneumonitis
1,33,2010-Brahmer-J Clin Oncol,Nivolumab,PD-1,Mixed cancer types,1 mg/kg Q4W,0,NA
1,NA,2010-Brahmer-J Clin Oncol,Nivolumab,PD-1,Mixed cancer types,3 mg/kg Q4W,0,NA
1,NA,2010-Brahmer-J Clin Oncol,Nivolumab,PD-1,Mixed cancer types,10 mg/kg Q4W,0,NA
2,259,2012-Topalian-N Engl J Med,Nivolumab,PD-1,Mixed cancer types,1 mg/kg Q2W,2,2
2,NA,2012-Topalian-N Engl J Med,Nivolumab,PD-1,Mixed cancer types,3 mg/kg Q2W,2,0
2,NA,2012-Topalian-N Engl J Med,Nivolumab,PD-1,Mixed cancer types,10 mg/kg Q2W,2,1
3,72,2014-Topalian-J Clin Oncol,Nivolumab,PD-1,Melanoma,1 mg/kg Q2W,2,NA
3,NA,2014-Topalian-J Clin Oncol,Nivolumab,PD-1,Melanoma,3 mg/kg Q2W,2,NA
3,NA,2014-Topalian-J Clin Oncol,Nivolumab,PD-1,Melanoma,10 mg/kg Q2W,2,NA
4,23,2015-Ansell-N Engl J Med,Nivolumab,PD-1,Hematologic malignancy,3 mg/kg Q2W,1,1
5,287,2015-Borghaei-N Engl J Med,Nivolumab,PD-1,Lung cancer,3 mg/kg Q2W,28,3
6,131,2015-Brahmer-N Engl J Med,Nivolumab,PD-1,Lung cancer,3 mg/kg Q2W,6,1
7,129,2015-Gettinger-J Clin Oncol,Nivolumab,PD-1,Lung cancer,1 mg/kg Q2W,3,2
7,NA,2015-Gettinger-J Clin Oncol,Nivolumab,PD-1,Lung cancer,3 mg/kg Q2W,3,0
7,NA,2015-Gettinger-J Clin Oncol,Nivolumab,PD-1,Lung cancer,10 mg/kg Q2W,3,1
8,20,2015-Hamanishi-J Clin Oncol,Nivolumab,PD-1,Other cancer,1 mg/kg Q2W,3,NA
8,NA,2015-Hamanishi-J Clin Oncol,Nivolumab,PD-1,Other cancer,3 mg/kg Q2W,3,NA
9,34,2015-McDermott-J Clin Oncol,Nivolumab,PD-1,GU cancer,1 mg/kg Q2W,1,NA
9,NA,2015-McDermott-J Clin Oncol,Nivolumab,PD-1,GU cancer,10 mg/kg Q2W,1,NA
10,406,2015-Motzer-N Engl J Med,Nivolumab,PD-1,GU cancer,3 mg/kg Q2W,40,6
11,54,2015-Motzer-J Clin Oncol,Nivolumab,PD-1,GU cancer,10 mg/kg Q3W,5,0
12,117,2015-Rizvi-Lancet Oncol,Nivolumab,PD-1,Lung cancer,3 mg/kg Q2W,5,4
13,206,2015-Robert-N Engl J Med2,Nivolumab,PD-1,Melanoma,3 mg/kg Q2W,4,NA
14,98,2016-Antonia-Lancet Oncol,Nivolumab,PD-1,Lung cancer,3 mg/kg Q2W,9,1
15,69,2016-Choueiri-Clin Cancer Res,Nivolumab,PD-1,GU cancer,2 mg/kg Q3W,3,0
15,NA,2016-Choueiri-Clin Cancer Res,Nivolumab,PD-1,GU cancer,10 mg/kg Q3W,3,1
15,NA,2016-Choueiri-Clin Cancer Res,Nivolumab,PD-1,GU cancer,10 mg/kg Q3W,3,0
16,236,2016-Ferris-N Engl J Med,Nivolumab,PD-1,Other cancer,3 mg/kg Q2W,11,NA
17,52,2016-Gettinger-J Clin Oncol,Nivolumab,PD-1,Lung cancer,3 mg/kg Q2W,2,1
18,81,2016-Lesokhin-J Clin Oncol,Nivolumab,PD-1,Hematologic malignancy,mixed,4,3
19,78,2016-Sharma-Lancet Oncol,Nivolumab,PD-1,GU cancer,3 mg/kg Q2W,7,NA
20,61,2016-Weber-Cancer Immu Res,Nivolumab,PD-1,Melanoma,3 mg/kg Q2W,3,0
21,12,2017-Ben-Ami-Cancer,Nivolumab,PD-1,Other cancer,3 mg/kg Q2W,0,NA
22,267,2017-Carbone-N Engl J Med,Nivolumab,PD-1,Lung cancer,3 mg/kg Q2W,26,NA
23,33,2017-El-Khoueiry-Lancet,Nivolumab,PD-1,GI cancer,1 mg/kg Q2W,1,NA
23,NA,2017-El-Khoueiry-Lancet,Nivolumab,PD-1,GI cancer,3 mg/kg Q2W,1,NA
23,NA,2017-El-Khoueiry-Lancet,Nivolumab,PD-1,GI cancer,10 mg/kg Q2W,1,NA
24,330,2017-Kang-Lancet,Nivolumab,PD-1,GI cancer,3 mg/kg Q2W,6,1
25,65,2017-Kudo-Lancet Oncol,Nivolumab,PD-1,GI cancer,3 mg/kg Q2W,6,NA
26,268,2017-Larkin-J Clin Oncol,Nivolumab,PD-1,Melanoma,3 mg/kg Q2W,13,NA
27,17,2017-Maruyama-Cancer Sci,Nivolumab,PD-1,Hematologic malignancy,3 mg/kg Q2W,1,NA
28,37,2017-Morris-Lancet Oncol,Nivolumab,PD-1,GI cancer,3 mg/kg Q2W,0,0
29,74,2017-Overman-Lancet Oncol,Nivolumab,PD-1,GI cancer,3 mg/kg Q2W,7,NA
30,270,2017-Sharma-Lancet Oncol,Nivolumab,PD-1,GU cancer,3 mg/kg Q2W,13,NA
31,452,2017-Weber-N Engl J Med,Nivolumab,PD-1,Melanoma,3 mg/kg Q2W,45,NA
32,14,2017-Yamamoto-Invest New Drugs,Nivolumab,PD-1,Mixed cancer types,1 mg/kg Q2W,1,NA
32,NA,2017-Yamamoto-Invest New Drugs,Nivolumab,PD-1,Mixed cancer types,3 mg/kg Q2W,1,NA
32,NA,2017-Yamamoto-Invest New Drugs,Nivolumab,PD-1,Mixed cancer types,10 mg/kg Q2W,1,NA
33,23,2017-Yamazaki-Cancer Sci,Nivolumab,PD-1,Melanoma,3 mg/kg Q2W,2,NA
34,243,2018-Armand-J Clin Oncol,Nivolumab,PD-1,Hematologic malignancy,3 mg/kg Q2W,4,NA
35,42,2018-D'Angelo-Lancet Oncol,Nivolumab,PD-1,Other cancer,3 mg/kg Q2W,0,NA
36,22,2018-Forde-N Engl J Med,Nivolumab,PD-1,Lung cancer,3 mg/kg Q2W,0,NA
37,129,2018-Gettinger-J Clin Oncol,Nivolumab,PD-1,Lung cancer,mixed,0,NA
38,391,2018-Hellmann-N Engl J Med,Nivolumab,PD-1,Lung cancer,240 mg Q2W,39,NA
39,313,2018-Hodi-Lancet Oncol,Nivolumab,PD-1,Melanoma,3 mg/kg Q2W,6,NA
40,59,2018-Janjigian-J Clin Oncol,Nivolumab,PD-1,GI cancer,3 mg/kg Q2W,8,NA
41,100,2018-Lee-Lung Cancer,Nivolumab,PD-1,Lung cancer,3 mg/kg Q2W,0,2
42,41,2018-Long-Lancet Oncol,Nivolumab,PD-1,Melanoma,3 mg/kg Q2W,0,0
43,45,2018-Ma-J Clin Oncol,Nivolumab,PD-1,Other cancer,3 mg/kg Q2W,0,NA
44,10,2018-Omuro-Neuro Oncol,Nivolumab,PD-1,Other cancer,3 mg/kg Q2W,1,0
45,34,2018-Quispel-Janssen-J Thorac Oncol,Nivolumab,PD-1,Other cancer,3 mg/kg Q2W,0,2
46,109,2018-Ready-J Thorac Oncol,Nivolumab,PD-1,Lung cancer,3 mg/kg Q2W,5,NA
47,495,2015-Garon-N Engl J Med,Pembrolizumab,PD-1,Lung cancer,2 mg/kg Q3W,0,NA
47,NA,2015-Garon-N Engl J Med,Pembrolizumab,PD-1,Lung cancer,10 mg/kg Q3W,5,NA
47,NA,2015-Garon-N Engl J Med,Pembrolizumab,PD-1,Lung cancer,10 mg/kg Q2W,4,NA
48,41,2015-Le-N Engl J Med,Pembrolizumab,PD-1,Mixed cancer types,10 mg/kg Q2W,2,0
49,23,2015-Patnaik-Clin Cancer Res,Pembrolizumab,PD-1,Mixed cancer types,10 mg/kg Q2W,0,0
49,NA,2015-Patnaik-Clin Cancer Res,Pembrolizumab,PD-1,Mixed cancer types,2 mg/kg Q3W,0,0
49,NA,2015-Patnaik-Clin Cancer Res,Pembrolizumab,PD-1,Mixed cancer types,10 mg/kg Q3W,0,0
50,357,2015-Ribas-Lancet Oncol,Pembrolizumab,PD-1,Melanoma,2 mg/kg Q3W,8,NA
50,NA,2015-Ribas-Lancet Oncol,Pembrolizumab,PD-1,Melanoma,10 mg/kg Q3W,8,NA
51,555,2015-Robert-N Engl J Med,Pembrolizumab,PD-1,Melanoma,10 mg/kg Q2W,2,0
51,NA,2015-Robert-N Engl J Med,Pembrolizumab,PD-1,Melanoma,10 mg/kg Q3W,2,1
52,31,2016-Armand-J Clin Oncol,Pembrolizumab,PD-1,Hematologic malignancy,10 mg/kg Q2W,1,0
53,132,2016-Chow-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,200 mg Q3W,13,2
54,682,2016-Herbst-Lancet,Pembrolizumab,PD-1,Lung cancer,2 mg/kg Q3W,3,6
54,NA,2016-Herbst-Lancet,Pembrolizumab,PD-1,Lung cancer,10 mg/kg Q3W,3,6
55,36,2016-Goldberg-Lancet Oncol,Pembrolizumab,PD-1,Melanoma,10 mg/kg Q2W,0,0
55,NA,2016-Goldberg-Lancet Oncol,Pembrolizumab,PD-1,Lung cancer,10 mg/kg Q2W,0,1
56,39,2016-Muro-Lancet Oncol,Pembrolizumab,PD-1,GI cancer,10 mg/kg Q2W,3,1
57,32,2016-Nanda-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,10 mg/kg Q2W,0,NA
58,26,2016-Nghiem-N Engl J Med,Pembrolizumab,PD-1,Other cancer,2 mg/kg Q3W,0,0
59,154,2016-Reck-N Engl J Med,Pembrolizumab,PD-1,Lung cancer,200 mg Q3W,15,NA
60,655,2016-Ribas-JAMA,Pembrolizumab,PD-1,Melanoma,mixed,32,NA
61,60,2016-Seiwert-Lancet Oncol,Pembrolizumab,PD-1,Other cancer,10 mg/kg Q2W,0,NA
62,7,2016-Shimizu-Invest New Drugs,Pembrolizumab,PD-1,Mixed cancer types,10 mg/kg Q2W,0,0
63,25,2017-Alley-Lancet Oncol,Pembrolizumab,PD-1,Other cancer,10 mg/kg Q2W,0,NA
64,370,2017-Balar-Lancet Oncol,Pembrolizumab,PD-1,GU cancer,200 mg Q3W,36,2
65,266,2017-Bellmunt-N Engl J Med,Pembrolizumab,PD-1,GU cancer,200 mg Q3W,26,6
66,171,2017-Bauml-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,200 mg Q3W,3,2
67,210,2017-Chen-J Clin Oncol,Pembrolizumab,PD-1,Hematologic malignancy,200 mg Q3W,10,NA
68,25,2017-Ding-Blood,Pembrolizumab,PD-1,Hematologic malignancy,200 mg Q3W,1,NA
